state_group,accuracy,selection_rate,false_positive_rate,false_negative_rate,precision,recall
AL,0.6412027631044291,0.42624949207639173,0.36553126588713775,0.3319838056680162,0.3145853193517636,0.6680161943319838
AR,0.6591511936339522,0.40185676392572944,0.34201954397394135,0.3357142857142857,0.3069306930693069,0.6642857142857143
AZ,0.6468653648509763,0.42055498458376156,0.3577886850942909,0.335010060362173,0.323069403714565,0.6649899396378269
CA,0.6524456893018172,0.4176458532586419,0.3530065862629373,0.32592466915507295,0.32493661568659526,0.674075330844927
CO,0.6586183769282361,0.40800357701766155,0.3437412879843881,0.33182844243792325,0.32438356164383564,0.6681715575620768
CT,0.6455654467523904,0.4045499505440158,0.34989733059548256,0.3729096989966555,0.3056234718826406,0.6270903010033445
FL,0.6515277777777778,0.4197916666666667,0.35492565863837927,0.32286995515695066,0.3247311827956989,0.6771300448430493
GA,0.6565402172202109,0.41728317330395087,0.3509219301686936,0.31314741035856575,0.32516031686156166,0.6868525896414343
HI,0.6472332015810277,0.41106719367588934,0.34968553459119495,0.3640552995391705,0.3317307692307692,0.6359447004608295
IL,0.6514759192128431,0.40911444847229417,0.34956605593056894,0.34420772303595204,0.31170886075949367,0.655792276964048
IN,0.6371598373475132,0.43947450735064125,0.3764659890539484,0.3082942097026604,0.3145907473309609,0.6917057902973396
KS,0.6540312876052948,0.41034897713598073,0.3478587528174305,0.338368580060423,0.32111436950146627,0.6616314199395771
KY,0.662009672219237,0.40891993551853845,0.34055517941773866,0.328125,0.33902759526938236,0.671875
LA,0.6557305336832896,0.4041994750656168,0.34417344173441733,0.34467120181405897,0.31277056277056275,0.655328798185941
MA,0.6615678776290631,0.4045039303165498,0.33875266524520253,0.33717277486910996,0.3324579831932773,0.6628272251308901
MD,0.6529386529386529,0.40755040755040756,0.34754797441364604,0.34505494505494505,0.3136842105263158,0.654945054945055
MI,0.6477359938603223,0.4205679201841903,0.35693571773803767,0.33426443202979517,0.3261861313868613,0.6657355679702048
MN,0.656948768751769,0.42456835550523636,0.35302542069459364,0.3054054054054054,0.3426666666666667,0.6945945945945946
MO,0.6489327811404906,0.42593182542210895,0.3606687898089172,0.31259968102073366,0.3223635003739716,0.6874003189792663
NC,0.653456548782655,0.4178070019548605,0.35207496653279785,0.32489082969432315,0.32879625691195236,0.6751091703056769
NJ,0.653578033859724,0.4155640916204296,0.353116769095698,0.31784107946026985,0.31153714481342004,0.6821589205397302
NM,0.6330935251798561,0.41097122302158273,0.35917901938426455,0.39574468085106385,0.31072210065645517,0.6042553191489362
NV,0.6487771739130435,0.413383152173913,0.3542280185107278,0.3386243386243386,0.30813475760065734,0.6613756613756614
NY,0.6459827397593291,0.4236052023823994,0.36162166250661826,0.3229198886483143,0.31406025824964134,0.6770801113516858
OH,0.6531269160024524,0.4103310852237891,0.34804297774366844,0.34222560975609756,0.32237579379902875,0.6577743902439024
OK,0.6690647482014388,0.41007194244604317,0.3375,0.30517711171662126,0.3441295546558704,0.6948228882833788
OR,0.6659725114535611,0.4144106622240733,0.343846949327818,0.29336188436830835,0.3316582914572864,0.7066381156316917
Other,0.6531933080962267,0.41299303944315546,0.3514574837637819,0.32716836734693877,0.3119455943228859,0.6728316326530612
PA,0.6467334429660637,0.42233517715652563,0.35979824397534094,0.32709580838323354,0.3182300884955752,0.6729041916167665
SC,0.6614340263046246,0.41535850657615614,0.34541577825159914,0.31185031185031187,0.338100102145046,0.6881496881496881
TN,0.6503191132012093,0.4104803493449782,0.34923986486486486,0.35139573070607555,0.323240589198036,0.6486042692939245
TX,0.6539746158984636,0.41792676261614137,0.3523512877003723,0.32082324455205813,0.3260680034873583,0.6791767554479419
UT,0.644565960355434,0.4278879015721121,0.36464560204953034,0.3184931506849315,0.31789137380191695,0.6815068493150684
VA,0.6603706972639012,0.41235657546337157,0.3439235725394357,0.3230240549828179,0.3373287671232877,0.6769759450171822
WA,0.6527777777777778,0.4319679849340866,0.3611604499703967,0.29310344827586204,0.335149863760218,0.7068965517241379
WI,0.6556093924711144,0.4081252329481923,0.3464384828862165,0.33589251439539347,0.31598173515981737,0.6641074856046065
