feature,importance
int_rate,4721
annual_inc,3265
revol_bal,3116
revol_util,2828
dti,2818
credit_history_years,2765
tot_cur_bal,2677
loan_amnt,2435
installment,2036
fico_range_low,1973
total_acc,1959
open_acc,1776
mths_since_last_delinq,1419
mort_acc,1284
emp_length,1185
mths_since_last_record,1115
tot_coll_amt,826
term,707
inq_last_6mths,626
emp_length_missing,440
home_ownership_RENT,422
delinq_2yrs,385
pub_rec_bankruptcies,342
application_type_Joint App,328
initial_list_status_w,320
verification_status_Source Verified,278
verification_status_Verified,264
purpose_debt_consolidation,235
purpose_small_business,230
home_ownership_MORTGAGE,223
fico_range_high,179
purpose_credit_card,174
purpose_home_improvement,143
purpose_other,136
home_ownership_OWN,130
purpose_major_purchase,127
tax_liens,120
purpose_medical,114
pub_rec,111
purpose_moving,111
purpose_vacation,92
purpose_house,72
purpose_wedding,57
purpose_renewable_energy,22
mths_since_last_delinq_missing,16
purpose_educational,7
mths_since_last_record_missing,6
acc_now_delinq,1
home_ownership_OTHER,0
home_ownership_NONE,0
