feature,importance
grade_encoded,0.21393666
sub_grade_encoded,0.12653369
term,0.06611126
emp_length_missing,0.027812043
home_ownership_MORTGAGE,0.021950398
mort_acc,0.018590527
fico_range_high,0.0153260855
int_rate,0.015230231
initial_list_status_w,0.015141727
home_ownership_RENT,0.014427558
dti,0.014312482
tot_cur_bal,0.0140820285
purpose_vacation,0.013617778
fico_range_low,0.013610382
annual_inc,0.013550509
mths_since_last_delinq_missing,0.013231438
inq_last_6mths,0.013221327
installment,0.013206967
loan_amnt,0.012805679
revol_bal,0.012804057
purpose_house,0.012671385
open_acc,0.012640541
verification_status_Verified,0.012418609
credit_history_years,0.012354312
tot_coll_amt,0.01235277
pub_rec_bankruptcies,0.012320436
application_type_Joint App,0.012320202
purpose_credit_card,0.012286376
purpose_wedding,0.012264199
verification_status_Source Verified,0.012229606
emp_length,0.012136194
mths_since_last_record,0.012117529
revol_util,0.012017119
purpose_debt_consolidation,0.011994842
tax_liens,0.011659755
delinq_2yrs,0.011600149
mths_since_last_delinq,0.011460944
total_acc,0.011377679
purpose_home_improvement,0.011376139
purpose_medical,0.011366979
purpose_small_business,0.011280196
home_ownership_OWN,0.011176565
purpose_other,0.010702856
acc_now_delinq,0.010658718
purpose_major_purchase,0.0105967475
pub_rec,0.01026756
purpose_moving,0.009402293
mths_since_last_record_missing,0.0087847
purpose_renewable_energy,0.006661859
home_ownership_OTHER,0.0
home_ownership_NONE,0.0
purpose_educational,0.0
